image_name,ground_truth_mask_file,predicted_mask_file,iou,dice_coefficient
2-250x_1,2-250x_1_seg.png,2-250x_1_predicted_mask.png,0.34693877553448055,0.5151515151648962
3-500x,3-500x_seg.png,3-500x_predicted_mask.png,0.43790912285857814,0.6090915147429751
6-250x,6-250x_seg.png,6-250x_predicted_mask.png,0.3344772746574673,0.5012858307877662
A_01_04,A_01_04_seg.png,A_01_04_predicted_mask.png,0.7042562657658533,0.8264675681820696
A_02_01,A_02_01_seg.png,A_02_01_predicted_mask.png,0.7254333514608494,0.8408709045113261
A_02_03,A_02_03_seg.png,A_02_03_predicted_mask.png,0.7159011830272417,0.8344317144908906
A_03_02,A_03_02_seg.png,A_03_02_predicted_mask.png,0.6981177316958962,0.8222253600709153
B_01_04,B_01_04_seg.png,B_01_04_predicted_mask.png,0.6900513805067457,0.8166040257276104
B_03_03,B_03_03_seg.png,B_03_03_predicted_mask.png,0.7094399237023625,0.8300261551904093
C_04_01,C_04_01_seg.png,C_04_01_predicted_mask.png,0.672299731457644,0.8040421448473613
C_04_02,C_04_02_seg.png,C_04_02_predicted_mask.png,0.7262849865953265,0.8414427423430211
D_02_04,D_02_04_seg.png,D_02_04_predicted_mask.png,0.6697161213844857,0.802191597486309
D_03_03,D_03_03_seg.png,D_03_03_predicted_mask.png,0.7259243467221196,0.8412006564463604
E_01_01,E_01_01_seg.png,E_01_01_predicted_mask.png,0.6186559613688875,0.7644069847206435
E_02_01,E_02_01_seg.png,E_02_01_predicted_mask.png,0.72037953127023,0.8374658244581021
E_03_02,E_03_02_seg.png,E_03_02_predicted_mask.png,0.619159024280393,0.7647908759942823
F_02_02,F_02_02_seg.png,F_02_02_predicted_mask.png,0.5585017727943725,0.7167162495923173
F_04_01,F_04_01_seg.png,F_04_01_predicted_mask.png,0.6026464361466957,0.7520641141427142
G_02_03,G_02_03_seg.png,G_02_03_predicted_mask.png,0.6101764594393089,0.7579001119516487
G_03_03,G_03_03_seg.png,G_03_03_predicted_mask.png,0.6922840738219692,0.8181653240471339
G_04_03,G_04_03_seg.png,G_04_03_predicted_mask.png,0.6880151772966108,0.8151765298644503
H_03_02,H_03_02_seg.png,H_03_02_predicted_mask.png,0.7316956757014129,0.8450626584865484
I_02_02,I_02_02_seg.png,I_02_02_predicted_mask.png,0.6578932311135237,0.7936496980190915
J_03_04,J_03_04_seg.png,J_03_04_predicted_mask.png,0.7577443795861944,0.8621781282701295
J_04_03,J_04_03_seg.png,J_04_03_predicted_mask.png,0.799925414885061,0.8888428467850286
K_02_01,K_02_01_seg.png,K_02_01_predicted_mask.png,0.7230141203331656,0.8392434070019955
K_03_02,K_03_02_seg.png,K_03_02_predicted_mask.png,0.7012900651781723,0.8244215134493351
L_01_03,L_01_03_seg.png,L_01_03_predicted_mask.png,0.6897556601745753,0.8163969222635912
L_03_04,L_03_04_seg.png,L_03_04_predicted_mask.png,0.765272963611209,0.8670307418563687
L_04_01,L_04_01_seg.png,L_04_01_predicted_mask.png,0.768758102157927,0.8692631301231402
L_04_03,L_04_03_seg.png,L_04_03_predicted_mask.png,0.7933129121075408,0.8847456645742054
M_01_04,M_01_04_seg.png,M_01_04_predicted_mask.png,0.7359841392296513,0.8479157413893802
M_03_02,M_03_02_seg.png,M_03_02_predicted_mask.png,0.655978920577435,0.7922551578683402
M_04_01,M_04_01_seg.png,M_04_01_predicted_mask.png,0.7352132749736533,0.8474039307737254
M_04_02,M_04_02_seg.png,M_04_02_predicted_mask.png,0.712773847566386,0.8323035158164598
N_01_01,N_01_01_seg.png,N_01_01_predicted_mask.png,0.6815954586291725,0.8106533056196249
N_01_03,N_01_03_seg.png,N_01_03_predicted_mask.png,0.635081361485288,0.7768192781604741
N_03_01,N_03_01_seg.png,N_03_01_predicted_mask.png,0.614600828589012,0.7613037448044081
N_03_02,N_03_02_seg.png,N_03_02_predicted_mask.png,0.7066662619237852,0.8281247220819956
O_01_03,O_01_03_seg.png,O_01_03_predicted_mask.png,0.6496081143508313,0.7875908328720903
P_01_01,P_01_01_seg.png,P_01_01_predicted_mask.png,0.6415141639637032,0.7816127061745873
P_01_03,P_01_03_seg.png,P_01_03_predicted_mask.png,0.7009948475420138,0.8242174849055225
P_03_01,P_03_01_seg.png,P_03_01_predicted_mask.png,0.5951003742907417,0.7461604095617287
P_03_04,P_03_04_seg.png,P_03_04_predicted_mask.png,0.5875536480847618,0.7402000540750522
Q_02_02,Q_02_02_seg.png,Q_02_02_predicted_mask.png,0.6448150337685569,0.7840578065338013
Q_03_01,Q_03_01_seg.png,Q_03_01_predicted_mask.png,0.6894389439057779,0.8161750341903545
Q_04_02,Q_04_02_seg.png,Q_04_02_predicted_mask.png,0.6690421431223789,0.8017079087859931
T_04_01,T_04_01_seg.png,T_04_01_predicted_mask.png,0.6652015147530024,0.7989441624406306
T_04_03,T_04_03_seg.png,T_04_03_predicted_mask.png,0.71933033982706,0.8367564081922174
U_02_01,U_02_01_seg.png,U_02_01_predicted_mask.png,0.7678614735468822,0.86868964003692
U_03_02,U_03_02_seg.png,U_03_02_predicted_mask.png,0.7190124570283802,0.836541299146858
U_04_02,U_04_02_seg.png,U_04_02_predicted_mask.png,0.6977237423916322,0.8219520349124285
